reference,source_type,year,page,term,defined,type,definition,definitions_cited,definition_breadth,emic_component,functional_component,morphological_component,raw_material_component,technological_component,materialist_typological,region,notes
"Munt, S. 2016 A Technological Analysis of Stone Artefacts from Allen’s Cave, South Australia. Masters, Adelaide, Flinders University.",thesis_masters,2016,71,blade core,yes,subcategory,"""‘Unidirectional core’ is preferred over the similar ‘blade core’ because the former caters for negative flake scars of all lengths and widths whereas the latter, using ‘blade’—a flake whose length is at least twice that of its width (Holdaway and Stern 2004:16)—implies exclusion of cores with shorter negative flake scars.""","Andrefsky Jr., W., editor 2010 Lithic Technology: Measures of Production, Use and Curation. 4th Edition. Cambridge, Cambridge University Press.

Holdaway, S. and N. Stern 2004 A record in stone: the study of Australia’s flaked stone artefacts. Canberra, Aboriginal Studies Press.",na,no,implicit,no,no,explicit,typological,South Australia,
"Munt, S. 2016 A Technological Analysis of Stone Artefacts from Allen’s Cave, South Australia. Masters, Adelaide, Flinders University.",thesis_masters,2016,72,multidirectional core,yes,subcategory,"""‘Multidirectional core’: a core on which flakes have been struck from two or more platforms, in different directions (Andrefsky 2010:82; Holdaway and Stern 2004:180; Figure 5.6d)""","Andrefsky Jr., W., editor 2010 Lithic Technology: Measures of Production, Use and Curation. 4th Edition. Cambridge, Cambridge University Press.

Holdaway, S. and N. Stern 2004 A record in stone: the study of Australia’s flaked stone artefacts. Canberra, Aboriginal Studies Press.",na,no,implicit,no,no,explicit,typological,South Australia,
"Munt, S. 2016 A Technological Analysis of Stone Artefacts from Allen’s Cave, South Australia. Masters, Adelaide, Flinders University.",thesis_masters,2016,76,horsehoof core,yes,subcategory,"""Horsehoof core (Figure 5.11): a discoidal, high-domed core with stacked step fracturing (often around the circumference of the platform) and a single circular or ovoid shaped platform (adapted from Akerman 1993:126, Kamminga 1982:85–91 and Holdaway and Stern 2004:203).""","Akerman, K. 1993 The status of the horsehoof core. Records of the Australian Museum Supplement 17:125–127.

Holdaway, S. and N. Stern 2004 A record in stone: the study of Australia’s flaked stone artefacts. Canberra, Aboriginal Studies Press.

Kamminga, J. 1982 Over the edge: functional analysis of Australian stone tools. Brisbane, University of Queensland.",na,no,implicit,explicit,no,explicit,typological,South Australia,
"Munt, S. 2022 Use-wear analysis of Aboriginal flaked stone, glass and porcelain from Calperum Station, South Australia. PhD, Adelaide, Flinders University.",thesis_phd,2022,na,core,no,category,na,na,na,na,na,na,na,na,na,South Australia,
"Munt, S. and T.D. Owen 2022 Aboriginal uses for introduced glass, ceramic and flint from the former Schofields Aerodrome, Western Sydney (Darug Country), New South Wales. Australian Archaeology 88(1):49–64.",paper,2022,na,core,no,category,na,na,na,na,na,na,na,na,na,New South Wales,
"Munt, S., A. Roberts, and A. Gorman 2018 An investigation of human responses to climatic fluctuations at Allen’s Cave, South Australia, from ca 40,000 to 5,000 BP, by a technological analysis of stone artefacts. Australian Archaeology 84(1):67–83.",paper,2018,73,core,yes,category,"""An artefact was a ‘core’ if it had one or more negative bulbs of percussion and one or more negative flake scars, and no ventral surface""",na,narrow,no,implicit,no,no,explicit,typological,South Australia,"though see Munt et al's (2018) definition of a ""flake that has been used as a core"""
"Munt, S., A. Roberts, and A. Gorman 2018 An investigation of human responses to climatic fluctuations at Allen’s Cave, South Australia, from ca 40,000 to 5,000 BP, by a technological analysis of stone artefacts. Australian Archaeology 84(1):67–83.",paper,2018,73,flaked piece,yes,category,"""a fragment that could not be definitively identified as a proximal, medial or distal flake or any other kind of artefact but which displayed attributes associated with the knapping process, e.g. fracture planes, relevant raw materials and/or an ability to conjoin with another artefact. Flaked pieces included artefacts with remnants of negative flake scars but no negative bulbs of percussion""",na,broad,no,no,no,no,explicit,typological,South Australia,
"Munt, S., A. Roberts, and A. Gorman 2018 An investigation of human responses to climatic fluctuations at Allen’s Cave, South Australia, from ca 40,000 to 5,000 BP, by a technological analysis of stone artefacts. Australian Archaeology 84(1):67–83.",paper,2018,73,flake that has been used as a core,yes,subcategory,"""a flake can also be a core if there are non-retouch negative flake scars that were clearly removed after the flake was struck from the core, using the ventral surface as a platform. Non-retouch negative flake scars are typically larger than retouch scars e.g. >5 mm, and they either emanate from a lateral margin without being continuous or do not emanate from a lateral margin at all.""",na,na,no,explicit,no,no,explicit,typological,South Australia,
"Munt, S., B. White, and T. Owen 2023 Social information inherent in backed artefacts from the Illawarra, western, and southwestern Sydney, NSW. Australian Archaeology 89(2):134–148.",paper,2023,na,na,na,na,na,na,na,na,na,na,na,na,na,New South Wales,
"Murray, P.F., A. Goede, and J.L. Bada 1980 Pleistocene Human Occupation at Beginners Luck Cave, Florentine Valley, Tasmania. Archaeology and Physical Anthropology in Oceania 15(3):142–152.",paper,1980,na,core,no,category,na,na,na,na,na,na,na,na,na,Tasmania,
"Nanson, G.C., R.W. Young, and E.D. Stockton 1987 Chronology and palaeoenvironment of the Cranebrook Terrace (near Sydney) containing artefacts more than 40,000 years old. Archaeology in Oceania 22(2):72–78.",paper,1987,na,pebble chopper,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"Napton, L.K. and E.A. Greathouse 1985 Archaeological investigations at Pine Gap (Kuyunba), Northern Territory. Australian Archaeology (20):90–108.",paper,1985,na,core,na,category,na,na,na,na,na,na,na,na,na,Northern Territory,
"Napton, L.K. and E.A. Greathouse 1985 Archaeological investigations at Pine Gap (Kuyunba), Northern Territory. Australian Archaeology (20):90–108.",paper,1985,na,pebble core,na,subcategory,na,na,na,na,na,na,na,na,na,Northern Territory,
"Napton, L.K. and E.A. Greathouse 1985 Archaeological investigations at Pine Gap (Kuyunba), Northern Territory. Australian Archaeology (20):90–108.",paper,1985,na,single platform core,na,subcategory,na,na,na,na,na,na,na,na,na,Northern Territory,
"Napton, L.K. and E.A. Greathouse 1985 Archaeological investigations at Pine Gap (Kuyunba), Northern Territory. Australian Archaeology (20):90–108.",paper,1985,na,multiple platform core,na,subcategory,na,na,na,na,na,na,na,na,na,Northern Territory,
"Newman, K. and M.W. Moore 2013 Ballistically anomalous stone projectile points in Australia. Journal of Archaeological Science 40(6):2614–2620.",paper,2013,na,core,no,na,na,na,na,na,na,na,na,na,na,Australia,
"Neyland, A.K. 2016 Lost in Time but Not in Space: High Resolution Geoarchaeology of Knapping Floors and Artefact Scatters in the Roxby Dunefield, Arid South Australia. PhD, Canberra, Australian National University.",thesis_phd,2016,300,flaked piece,yes,category,"""Artefact with characteristics indicative of conchoidal fracture but which missing key characteristics in which to distinguish it as either a retouched artefact, flake or core.""",na,broad,no,no,no,no,explicit,materialist,South Australia,
"Neyland, A.K. 2016 Lost in Time but Not in Space: High Resolution Geoarchaeology of Knapping Floors and Artefact Scatters in the Roxby Dunefield, Arid South Australia. PhD, Canberra, Australian National University.",thesis_phd,2016,300,core,yes,category,"""stone artefact from which flakes have been removed which are visible as negative
scars.""",na,broad,no,no,no,no,explicit,typological,South Australia,
"Neyland, A.K. 2016 Lost in Time but Not in Space: High Resolution Geoarchaeology of Knapping Floors and Artefact Scatters in the Roxby Dunefield, Arid South Australia. PhD, Canberra, Australian National University.",thesis_phd,2016,163,bidirectional core,yes,subcategory,"""2 platforms""",na,na,no,no,no,no,explicit,typological,South Australia,
"Neyland, A.K. 2016 Lost in Time but Not in Space: High Resolution Geoarchaeology of Knapping Floors and Artefact Scatters in the Roxby Dunefield, Arid South Australia. PhD, Canberra, Australian National University.",thesis_phd,2016,163,multidirectional core,yes,subcategory,"""more than 2 platforms""",na,na,no,no,no,no,explicit,typological,South Australia,
"Neyland, A.K. 2016 Lost in Time but Not in Space: High Resolution Geoarchaeology of Knapping Floors and Artefact Scatters in the Roxby Dunefield, Arid South Australia. PhD, Canberra, Australian National University.",thesis_phd,2016,163,unidirectional core,yes,subcategory,"""1 platform""",na,na,no,no,no,no,explicit,typological,South Australia,
"Nicholson, A. and S. Cane 1991 Archaeology on the Anxious Coast. Australian Archaeology (33):3–13.",paper,1991,na,core,no,category,na,na,na,na,na,na,na,na,na,Western Australia,
"Nicholson, A. and S. Cane 1991 Archaeology on the Anxious Coast. Australian Archaeology (33):3–13.",paper,1991,na,bipolar core,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Nicholson, A. and S. Cane 1994 Pre-European Coastal Settlement and Use of the Sea. Australian Archaeology (39):108–117.",paper,1994,na,na,na,na,na,na,na,na,na,na,na,na,na,Australia,
"Nicholson, A.F. 1994 Archaeology on an arid coast : environmental and cultural influences on subsistence economies on the West Coast of South Australia. Masters, Canberra, Australian National University.",thesis_masters,1994,na,pebble core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,South Australia,
"Nicholson, A.F. 1994 Archaeology on an arid coast : environmental and cultural influences on subsistence economies on the West Coast of South Australia. Masters, Canberra, Australian National University.",thesis_masters,1994,na,core scraper,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,South Australia,
"Nicholson, A.F. 1994 Archaeology on an arid coast : environmental and cultural influences on subsistence economies on the West Coast of South Australia. Masters, Canberra, Australian National University.",thesis_masters,1994,na,steep-edged core scraper,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,South Australia,
"Nicholson, A.F. 1994 Archaeology on an arid coast : environmental and cultural influences on subsistence economies on the West Coast of South Australia. Masters, Canberra, Australian National University.",thesis_masters,1994,na,bipolar core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,South Australia,
"Nicholson, A.F. 1994 Archaeology on an arid coast : environmental and cultural influences on subsistence economies on the West Coast of South Australia. Masters, Canberra, Australian National University.",thesis_masters,1994,na,microlithic core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,South Australia,
"Nicholson, A.F. 1994 Archaeology on an arid coast : environmental and cultural influences on subsistence economies on the West Coast of South Australia. Masters, Canberra, Australian National University.",thesis_masters,1994,na,single platform core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,South Australia,
"Nicholson, A.F. 1994 Archaeology on an arid coast : environmental and cultural influences on subsistence economies on the West Coast of South Australia. Masters, Canberra, Australian National University.",thesis_masters,1994,na,multi-platform core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,South Australia,
"Nicholson, A.F. 1994 Archaeology on an arid coast : environmental and cultural influences on subsistence economies on the West Coast of South Australia. Masters, Canberra, Australian National University.",thesis_masters,1994,na,blocky core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,South Australia,
"Nicholson, A.F. 1994 Archaeology on an arid coast : environmental and cultural influences on subsistence economies on the West Coast of South Australia. Masters, Canberra, Australian National University.",thesis_masters,1994,na,core,no,category,no explicit definition,na,na,na,na,na,na,na,na,South Australia,
